,FIPS CODE,Population Density,County,State,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,MMWR_week,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Cases ,Deaths ,risk
0,1001,93.10842547,Autauga,Alabama,-4.8,11.03333333,-16.0,2.076187032,-12.0,4.533333333,39,31.31666667,17501.8,17501.56667,36.78,16583.1,38.65,5246.333333,58.77333333,92.31,22610.86667,40.47,22609.6,47.53,21212.66667,49.44666667,6340.3,71.05333333,B,5.6,6.0,6.4,7.0,Metro,1.6,2.0,2.4,3.0,33.0,1.0,-4.039769327438538
1,1003,128.1362751,Baldwin,Alabama,9.7,30.1,27.8,16.43333333,-7.3,2.266666667,39,39.53333333,88261.23332999999,88259.23332999999,45.81,84526.8,48.11666667,33405.33333,71.33,92.31,114787.6333,51.41333333,114782.6333,59.57666667,109160.6,62.14,40368.0,86.19666667,A,2.6,3.0,3.4,3.6,Metro,2.6,3.0,3.4,3.6,110.0,4.0,-4.6969992920158035
2,1005,29.93526777,Barbour,Alabama,8.875,0.3333333333,48.36708028,2.076187032,-7.8666666670000005,2.666666667,39,32.66666667,8065.033332999999,8065.033332999999,37.67666667,7781.633333,39.69,3060.833333,62.97666667,92.31,10453.93333,42.34,10452.93333,48.83666667,9989.4,50.95,3436.1333329999998,70.69,D,13.86666667,14.2,14.6,15.0,Non-metro,5.8666666670000005,6.2,6.6,7.0,14.0,0.0,-4.223838283149421
3,1007,36.2731335,Bibb,Alabama,5.566116786,19.375,48.36708028,2.076187032,-12.4,3.187139927,39,27.55333333,6169.966667000001,6169.966667000001,31.65666667,5913.8,33.15666667,2050.166667,54.92,92.31,7946.5,35.48,7942.5,40.77666667,7615.533332999999,42.69333333,2336.666667,62.59333333,C,9.0,9.7,10.0,11.0,Metro,1.0,1.7,2.0,3.0,21.0,0.0,-4.15383032987177
4,1009,89.44656749,Blount,Alabama,11.4,15.76923077,48.36708028,2.076187032,-19.33333333,4.0,39,23.45666667,13568.6,13568.6,27.55666667,13104.46667,29.4,5035.7,46.56,92.31,17609.0,30.46333333,17605.0,35.75666667,16851.16667,37.80333333,5868.733333,54.27,B,5.0,5.2,5.6,6.0,Metro,1.0,1.2,1.6,2.0,41.0,1.0,-3.6520890627465548
5,1011,17.17391479,Bullock,Alabama,5.566116786,10.01909244,48.36708028,2.076187032,-11.18181818,3.187139927,39,39.26,3964.933333,3964.933333,45.69,3770.7,47.16,1153.666667,67.42333333,92.31,4879.466667000001,48.31333333,4877.466667000001,56.20333333,4596.733333,57.50666667,1299.6,75.96666667,D,14.6,14.93333333,15.4,15.6,Non-metro,6.6,6.933333332999999,7.4,7.6,4.0,0.0,-4.659395507612844
6,1013,25.94393361,Butler,Alabama,3.875,4.380952381,48.36708028,2.076187032,-6.833333333,3.187139927,39,30.74333333,5978.233333,5978.233333,35.86,5747.433333,37.88333333,2285.933333,56.45333333,92.31,8011.566667,41.19333333,8011.566667,48.05,7654.233333,50.44666667,2843.833333,70.23666667,D,13.6,14.0,14.33333333,15.0,Non-metro,5.6,6.0,6.333333333,7.0,13.0,1.0,-4.225170503246311
7,1015,190.8336469,Calhoun,Alabama,-3.9666666669999997,-12.1,48.36708028,2.076187032,-15.8,4.1,39,35.24333333,40041.53333,40041.53333,40.95666667,38523.06667,43.22666667,14064.066669999998,68.44333333,92.31,49928.46667,43.95333333,49926.866669999996,51.06666667,47507.2,53.30666667,15865.933330000002,77.22333333,D,14.0,14.6,14.6,15.6,Metro,2.0,2.6,2.6,3.6,123.0,3.0,-4.8258201799894636
8,1017,57.20239183,Chambers,Alabama,4.666666667,19.78571429,48.36708028,-11.5,-20.7,5.909090909,39,24.96666667,8303.433332999999,8303.433332999999,29.0,8032.933333,30.5,3157.933333,47.03,92.31,10181.9,30.62333333,10181.9,35.56333333,9784.0,37.15666667,3556.333333,52.96,C,9.0,9.366666667,9.6,10.0,Non-metro,5.0,5.366666667,5.6,6.0,24.0,0.0,-3.68964598804129
9,1019,46.7021853,Cherokee,Alabama,10.71428571,15.33333333,48.36708028,2.076187032,-8.633333333,4.1363636360000005,39,24.92,6526.8,6526.8,28.29,6377.166667,30.01333333,2947.5,47.82,92.31,8018.066667,30.61333333,8018.066667,34.75333333,7806.866667,36.73333333,3390.8666670000002,55.01,B,5.0,5.333333333,5.6,6.033333333,Non-metro,5.0,5.333333333,5.6,6.033333333,16.0,0.0,-3.064838515202556
