,Unnamed: 0,FIPS CODE,Population Density ,county_x,state_x,cases_x,deaths_x,month_x,year_x,country_region_code,country_region,sub_region_1,sub_region_2,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,month_y,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,month_x,year_y,date,county_y,state_y,cases_y,deaths_y,month_y,year
0,0,1001,93.10842547,Autauga,Alabama,5054.83870967742,57.193548387096776,1.0,2021.0,US,United States,Alabama,Autauga County,-14.419354838709678,-5.064516129032258,-15.2,-21.67087799671004,-22.87096774193548,8.774193548387098,1.0,5.0,Autauga County,AL,0.2387096774,137.7096774,137.7096774,0.2903225806,137.7096774,0.31935483870000003,14.38709677,0.1612903226,51.20645161,707.2258065000003,1.264516129,707.2258065000003,1.487096774,706.9677419,1.6483870969999999,293.0322581000001,3.283870968,B,5.0,5.0,5.0,5.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Autauga,Alabama,48.0,1.0,1,2021
1,1,1003,128.1362751,Baldwin,Alabama,16077.193548387097,186.09677419354838,1.0,2021.0,US,United States,Alabama,Baldwin County,-14.387096774193553,-5.935483870967742,-1.32258064516129,-13.225806451612899,-23.0,5.451612903225807,1.0,5.0,Baldwin County,AL,0.4677419355,1041.83871,1041.7741939999999,0.5387096774,1041.7741939999999,0.5967741935,125.32258059999998,0.26774193550000003,75.72258065,4426.0645159999995,1.980645161,4425.322581,2.296774194,4424.935484000001,2.509677419,1981.419355,4.229032258,A,1.0,1.0,1.0,1.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Baldwin,Alabama,143.0,2.0,1,2021
2,2,1005,29.93526777,Barbour,Alabama,1725.774193548387,36.25806451612903,1.0,2021.0,US,United States,Alabama,Barbour County,-10.46666666666667,-12.33333333333333,-15.363616729087653,-21.67087799671004,-22.677419354838708,9.373992102877745,1.0,5.0,Barbour County,AL,0.05161290323,12.93548387,12.93548387,0.061290322579999994,12.93548387,0.06774193548,5.451612902999999,0.10967741939999999,11.99677419,133.8387097,0.5419354839,133.8387097,0.6225806452,133.8387097,0.6806451613,92.22580645,1.896774194,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Barbour,Alabama,14.0,0.0,1,2021
3,3,1007,36.2731335,Bibb,Alabama,2112.6451612903224,48.064516129032256,1.0,2021.0,US,United States,Alabama,Bibb County,-18.814247704934786,-11.125,-15.363616729087653,-21.67087799671004,-17.645161290322573,9.373992102877745,1.0,5.0,Bibb County,AL,0.1548387097,35.12903226,35.12903226,0.1806451613,34.90322581,0.19032258059999999,15.0,0.4032258065,30.00967742,305.1290323,1.3612903230000002,304.8064516,1.558064516,304.483871,1.7096774190000001,201.3548387,5.390322581,C,9.0,9.0,9.0,9.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Bibb,Alabama,15.0,0.0,1,2021
4,4,1009,89.44656749,Blount,Alabama,5233.258064516129,80.96774193548387,1.0,2021.0,US,United States,Alabama,Blount County,-11.16129032258065,-9.153846153846152,-15.363616729087653,-21.67087799671004,-22.548387096774192,8.741935483870968,1.0,5.0,Blount County,AL,0.08064516129,45.74193548,45.74193548,0.09032258065,45.74193548,0.1032258065,9.290322581,0.08387096774,14.98709677,395.03225810000004,0.6806451613,395.03225810000004,0.8,395.03225810000004,0.8903225806,235.70967740000003,2.177419355,B,5.0,5.0,5.0,5.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Blount,Alabama,34.0,1.0,1,2021
5,5,1011,17.17391479,Bullock,Alabama,988.032258064516,26.838709677419356,1.0,2021.0,US,United States,Alabama,Bullock County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-21.67087799671004,-26.476190476190467,9.373992102877745,1.0,5.0,Bullock County,AL,0.6677419354999999,67.29032258,67.29032258,0.7741935484,67.29032258,0.8483870968,40.38709677,2.364516129,66.49677419,148.28571430000005,0.9967741935,148.28571430000005,1.161290323,148.28571430000005,1.2612903229999999,104.1428571,4.125806452,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Bullock,Alabama,7.0,0.0,1,2021
6,6,1013,25.94393361,Butler,Alabama,1675.516129032258,55.12903225806453,1.0,2021.0,US,United States,Alabama,Butler County,-21.3,-13.78947368421053,-15.363616729087653,-21.54545454545455,-18.12903225806452,9.373992102877745,1.0,5.0,Butler County,AL,0.03548387097,6.387096774,6.387096774,0.03548387097,6.387096774,0.04516129032,2.774193548,0.06774193548,9.0,83.25806452,0.4290322581,83.25806452,0.5,83.25806452,0.5451612903,60.96774194,1.506451613,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Butler,Alabama,10.0,0.0,1,2021
7,7,1015,190.8336469,Calhoun,Alabama,10919.870967741936,193.09677419354838,1.0,2021.0,US,United States,Alabama,Calhoun County,-15.419354838709678,-12.64516129032258,-15.363616729087653,-21.67087799671004,-21.38709677419355,6.838709677419355,1.0,5.0,Calhoun County,AL,0.135483871,149.5483871,149.5483871,0.1483870968,149.4193548,0.1677419355,39.90322581,0.1935483871,36.04193548,1735.5161289999999,1.5290322580000002,1735.5161289999999,1.7741935480000002,1735.193548,1.94516129,1042.3225810000001,5.070967742,D,13.0,13.0,13.0,13.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Calhoun,Alabama,81.0,2.0,1,2021
8,8,1017,57.20239183,Chambers,Alabama,2804.2580645161293,68.35483870967742,1.0,2021.0,US,United States,Alabama,Chambers County,-11.87096774193548,-8.193548387096774,-15.363616729087653,-23.33333333333333,-21.64516129032258,9.761904761904765,1.0,5.0,Chambers County,AL,0.2161290323,71.90322581,71.90322581,0.2516129032,71.90322581,0.2741935484,16.80645161,0.2451612903,36.04193548,368.2903226,1.109677419,368.2903226,1.293548387,368.2903226,1.396774194,181.5806452,2.7096774189999997,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Chambers,Alabama,28.0,0.0,1,2021
9,9,1019,46.7021853,Cherokee,Alabama,1580.0,28.48387096774193,1.0,2021.0,US,United States,Alabama,Cherokee County,-10.7,-9.0,-15.363616729087653,-21.67087799671004,-13.096774193548393,7.4,1.0,5.0,Cherokee County,AL,0.09677419355,25.61290323,25.61290323,0.10967741939999999,25.61290323,0.12258064519999999,7.516129032,0.1258064516,17.98387097,285.38709680000005,1.090322581,285.38709680000005,1.235483871,285.38709680000005,1.341935484,171.9354839,2.7903225810000003,B,5.0,5.0,5.0,5.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Cherokee,Alabama,9.0,0.0,1,2021
10,10,1021,63.42317429,Chilton,Alabama,3320.1612903225805,64.90322580645162,1.0,2021.0,US,United States,Alabama,Chilton County,-6.064516129032258,-1.387096774193548,-15.363616729087653,-12.612903225806447,-19.87096774193548,6.838709677419355,1.0,5.0,Chilton County,AL,0.05161290323,21.54838710000001,21.54838710000001,0.05806451613,21.54838710000001,0.06451612903,1.935483871,0.02580645161,11.99677419,181.1290323,0.4064516129,181.1290323,0.48387096770000004,181.1290323,0.5387096774,108.4193548,1.422580645,D,13.0,13.0,13.0,13.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Chilton,Alabama,18.0,1.0,1,2021
11,11,1023,14.41707718,Choctaw,Alabama,509.9677419354838,23.22580645161291,1.0,2021.0,US,United States,Alabama,Choctaw County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-21.67087799671004,-9.238095238095235,9.373992102877745,1.0,5.0,Choctaw County,AL,0.05161290323,6.2258064520000005,6.2258064520000005,0.05806451613,6.2258064520000005,0.061290322579999994,0.6451612903,0.01935483871,6.0,66.96774194,0.5322580645,66.96774194,0.6096774194,66.96774194,0.6612903226,37.45161289999999,1.2612903229999999,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Choctaw,Alabama,1.0,0.0,1,2021
12,12,1025,19.92385736,Clarke,Alabama,2791.903225806452,31.77419354838709,1.0,2021.0,US,United States,Alabama,Clarke County,-5.961538461538463,-11.95454545454546,-15.363616729087653,-21.67087799671004,-16.80645161290322,9.373992102877745,1.0,5.0,Clarke County,AL,0.02580645161,5.483870968,5.483870968,0.02580645161,5.483870968,0.029032258060000007,1.5806451609999999,0.03225806452,6.0,129.1612903,0.5451612903,129.1612903,0.635483871,129.1612903,0.6935483870999999,90.93548387,1.877419355,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Clarke,Alabama,27.0,0.0,1,2021
13,13,1027,22.44350215,Clay,Alabama,1251.225806451613,42.064516129032256,1.0,2021.0,US,United States,Alabama,Clay County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-21.67087799671004,-19.52380952380953,9.373992102877745,1.0,5.0,Clay County,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,C,6.858280922431866,6.8682532936676575,6.858280922431866,6.858966139381133,Non-metro,3.3389261744966436,3.3316326530612246,3.3389261744966436,3.3418631270689074,1.0,2021.0,1,Clay,Alabama,6.0,1.0,1,2021
14,14,1029,26.81306909,Cleburne,Alabama,1159.548387096774,21.774193548387093,1.0,2021.0,US,United States,Alabama,Cleburne County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-2.166666666666667,-15.2,9.373992102877745,1.0,5.0,Cleburne County,AL,0.1,15.06451613,15.06451613,0.1193548387,15.06451613,0.12903225810000002,6.548387097000001,0.2193548387,11.99677419,114.5806452,0.7677419354999999,114.5806452,0.9032258065000001,114.5806452,0.9903225806,79.41935484,2.6419354840000002,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Cleburne,Alabama,8.0,0.0,1,2021
15,15,1031,75.42431794,Coffee,Alabama,4324.870967741936,53.96774193548386,1.0,2021.0,US,United States,Alabama,Coffee County,-10.87096774193548,-3.4516129032258065,-15.363616729087653,-21.67087799671004,-19.70967741935484,6.193548387096772,1.0,5.0,Coffee County,AL,0.1032258065,54.35483871,54.35483871,0.12903225810000002,54.35483871,0.1322580645,10.25806452,0.1193548387,36.04193548,626.1290323,1.196774194,626.1290323,1.4129032259999998,626.1290323,1.567741935,377.7096774,4.183870968,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Coffee,Alabama,42.0,1.0,1,2021
16,16,1033,91.7182878,Colbert,Alabama,5252.870967741936,75.74193548387096,1.0,2021.0,US,United States,Alabama,Colbert County,-13.64516129032258,-10.61290322580645,-57.470588235294116,-7.129032258064518,-18.645161290322573,6.580645161290323,1.0,5.0,Colbert County,AL,0.4032258065,225.9032258,225.9032258,0.4741935484000001,225.9032258,0.5161290323,21.64516129,0.2064516129,57.30322581,2008.3870969999998,3.625806452,2008.0,4.212903226,2008.0,4.593548387,1010.4516130000001,9.132258065,B,5.0,5.0,5.0,5.0,Metro,1.0,1.0,1.0,1.0,1.0,2021.0,1,Colbert,Alabama,34.0,1.0,1,2021
17,17,1035,14.9054997,Conecuh,Alabama,934.741935483871,19.677419354838708,1.0,2021.0,US,United States,Alabama,Conecuh County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-11.93548387096774,-16.52380952380953,9.373992102877745,1.0,5.0,Conecuh County,AL,0.009677419355,1.064516129,1.064516129,0.009677419355,1.064516129,0.009677419355,0.3225806452,0.01290322581,2.996774194,30.29032258,0.2516129032,30.29032258,0.2903225806,30.29032258,0.3161290323,22.38709677,0.7903225806,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Conecuh,Alabama,6.0,0.0,1,2021
18,18,1037,16.47499101,Coosa,Alabama,601.6774193548387,13.193548387096774,1.0,2021.0,US,United States,Alabama,Coosa County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-21.67087799671004,-17.47619047619047,9.373992102877745,1.0,5.0,Coosa County,AL,0.1258064516,13.64516129,13.64516129,0.1419354839,13.64516129,0.1548387097,5.225806452,0.2032258065,30.00967742,146.0,1.364516129,146.0,1.522580645,146.0,1.632258065,97.5483871,3.793548387,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Coosa,Alabama,5.0,0.0,1,2021
19,19,1039,36.71675452,Covington,Alabama,3253.8064516129034,63.03225806451614,1.0,2021.0,US,United States,Alabama,Covington County,-8.548387096774192,-2.7419354838709684,-15.363616729087653,-21.67087799671004,-14.096774193548393,6.047619047619048,1.0,5.0,Covington County,AL,0.05161290323,19.93548387,19.93548387,0.061290322579999994,19.93548387,0.07096774194,5.322580645,0.07096774194,11.99677419,245.7741935,0.6612903226,245.64516129999998,0.7741935484,245.64516129999998,0.8483870968,165.4193548,2.090322581,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Covington,Alabama,22.0,2.0,1,2021
20,20,1041,22.933775699999998,Crenshaw,Alabama,1162.0645161290322,41.58064516129032,1.0,2021.0,US,United States,Alabama,Crenshaw County,-18.814247704934786,-9.810843653450467,-15.363616729087653,-21.67087799671004,-26.65384615384615,9.373992102877745,1.0,5.0,Crenshaw County,AL,0.061290322579999994,8.032258065,8.032258065,0.07096774194,8.032258065,0.07419354839,2.193548387,0.08387096774,11.99677419,89.09677419,0.6451612903,89.09677419,0.7580645161,89.09677419,0.8387096773999999,61.64516129,2.3096774190000002,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Crenshaw,Alabama,12.0,0.0,1,2021
21,21,1043,111.5955697,Cullman,Alabama,7930.0,102.96774193548387,1.0,2021.0,US,United States,Alabama,Cullman County,-19.29032258064516,-6.612903225806452,14.48275862068965,-6.96774193548387,-21.06451612903226,7.451612903225808,1.0,5.0,Cullman County,AL,0.5935483871,499.4516129,499.4516129,0.7,499.1290323,0.7645161290000001,76.77419355,0.4870967742,75.72258065,2375.354839,2.8290322580000002,2375.354839,3.3290322580000002,2375.0322579999997,3.658064516,1185.709677,7.532258065,C,9.0,9.0,9.0,9.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Cullman,Alabama,45.0,2.0,1,2021
22,22,1045,88.32754166,Dale,Alabama,3878.161290322581,76.96774193548387,1.0,2021.0,US,United States,Alabama,Dale County,-16.19354838709678,-4.32258064516129,-15.363616729087653,-10.36,-19.09677419354839,6.483870967741934,1.0,5.0,Dale County,AL,0.1806451613,90.35483871,90.35483871,0.22258064519999998,90.35483871,0.2322580645,11.0,0.1258064516,30.00967742,1013.3548390000001,2.058064516,1013.3548390000001,2.44516129,1013.3548390000001,2.667741935,461.3225806,5.425806452000001,D,13.0,13.0,13.0,13.0,Non-metro,5.0,5.0,5.0,5.0,1.0,2021.0,1,Dale,Alabama,31.0,1.0,1,2021
