FIPS CODE,Population Density,County,State,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,MMWR_week,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Cases ,Deaths
1001,93.10842547,Autauga,Alabama,1.483870968,13.38709677,49.35525859,2.890089308,-15.77419355,2.516129032,22,18.82258065,10516.90323,10516.90323,22.10967742,10456.06452,24.37419355,4147.322581,46.48064516,91.87741935,13327.83871,23.85806452,13326.83871,28.01290323,13178.12903,30.71612903,5073.548387,56.86129032,B,5,5,5,6,Metro,1,1,1,2,8,0
1003,128.1362751,Baldwin,Alabama,21.5483871,35.51612903,62.22580645,22.64516129,-8.838709677,0.5161290323,22,22.90322581,51123.51613,51122.51613,26.52580645,50907.32258,28.97741935,25495.22581,54.43870968,91.87741935,61715,27.63870968,61710,32.03548387,61298.32258,34.88709677,30127.19355,64.32903226,A,1,1,1.387096774,3,Metro,1,1,1.387096774,3,22,0
1005,29.93526777,Barbour,Alabama,18.52380952,6,49.35525859,2.890089308,-16.96774194,3.1,22,17.08387097,4219.612903,4219.612903,19.71612903,4210.193548,21.48064516,2338.548387,48.11290323,91.87741935,5016.387097,20.31290323,5016.387097,23.43548387,5003.709677,25.52903226,2485.451613,51.13225806,D,13,13,13,14,Non-metro,5,5,5,6,1,0
1007,36.2731335,Bibb,Alabama,6.778773434,16.75,49.35525859,2.890089308,-16.22580645,1.25,22,15.39354839,3447.709677,3447.709677,17.69354839,3433.709677,19.2483871,1654.419355,44.31935484,91.87741935,4400.903226,19.6516129,4397.903226,22.56774194,4370.129032,24.49354839,1908.483871,51.12903226,C,9,9,9,10,Metro,1,1,1,2,2,0
1009,89.44656749,Blount,Alabama,15.35483871,10.30769231,49.35525859,2.890089308,-18.67741935,3.225806452,22,13.61612903,7877.290323,7877.290323,15.99677419,7847.516129,17.61290323,3867.193548,35.7483871,91.87741935,10119.03226,17.5,10116.03226,20.5483871,10056.16129,22.55806452,4591.354839,42.4516129,B,5,5,5,6,Metro,1,1,1,2,8,0
1011,17.17391479,Bullock,Alabama,6.778773434,10.46445195,49.35525859,2.890089308,-14.52380952,3.274119313,22,24.97741935,2521.870968,2521.870968,29.06774194,2511.096774,31.40967742,895.4516129,52.32903226,91.87741935,2935.032258,29.0516129,2933.032258,33.80645161,2916.967742,36.47419355,939.483871,54.90967742,D,13,13.38709677,13.77419355,15,Non-metro,5,5.387096774,5.774193548,7,0,0
1013,25.94393361,Butler,Alabama,10.55555556,6.75,49.35525859,2.890089308,-13.22580645,3.274119313,22,20.19354839,3929.806452,3929.806452,23.57096774,3919.645161,25.81612903,1916.677419,47.34193548,91.87741935,5097,26.20967742,5097,30.56451613,5075.258065,33.44516129,2365.741935,58.42580645,D,13,13,13,14,Non-metro,5,5,5,6,2,0
1015,190.8336469,Calhoun,Alabama,0.9677419355,-5.193548387,49.35525859,2.890089308,-17.83870968,2.35483871,22,20.69354839,23513.22581,23513.22581,24.06129032,23447.93548,26.3,10615.67742,51.66451613,91.87741935,25929.41935,22.82903226,25929.41935,26.51935484,25793.93548,28.94516129,11190.74194,54.46129032,D,13,13,13,14.80645161,Metro,1,1,1,2.806451613,6,0
1017,57.20239183,Chambers,Alabama,9.35483871,19.39285714,49.35525859,-15,-18.83870968,4.130434783,22,16.72258065,5559.806452,5559.806452,19.41935484,5528,20.98709677,2662.612903,39.6483871,91.87741935,6554.354839,19.71290323,6554.354839,22.90322581,6507.483871,24.7,2973.483871,44.29032258,C,9,9,9,10,Non-metro,5,5,5,6,4,0
1019,46.7021853,Cherokee,Alabama,18.66666667,16.75,49.35525859,2.890089308,-11.16129032,3.571428571,22,16.91290323,4430.967742,4430.967742,19.21290323,4421.709677,20.81612903,2448.645161,39.71935484,91.87741935,5310.645161,20.27096774,5310.645161,23.02258065,5298.064516,24.92903226,2825.677419,45.82903226,B,5,5,5,6,Non-metro,5,5,5,6,1,0
1021,63.42317429,Chilton,Alabama,17.41935484,20.11538462,49.35525859,58.4516129,-14.5483871,1.451612903,22,15.14516129,6728.354839,6728.354839,17.96451613,6704.967742,19.81612903,3428.193548,45.10645161,91.87741935,9113.322581,20.52258065,9111.516129,24.31935484,9056.612903,26.76129032,4268.096774,56.17419355,D,13,13,13,14,Metro,1,1,1,2,6,0
1023,14.41707718,Choctaw,Alabama,6.778773434,10.46445195,49.35525859,2.890089308,-7.333333333,3.274119313,22,30.28387097,3812.516129,3812.516129,34.57096774,3806.903226,37.6516129,1946.580645,65.57419355,91.87741935,4691.645161,37.27419355,4690.645161,42.52903226,4674.387097,46.24193548,2311.064516,77.82580645,D,13.58064516,14,14.22580645,15,Non-metro,5.580645161,6,6.225806452,7,0,0
1025,19.92385736,Clarke,Alabama,8,-0.2380952381,49.35525859,2.890089308,-13.29032258,3.274119313,22,23.94193548,5657.709677,5657.709677,27.7483871,5644.709677,30.3516129,2658.774194,54.89677419,91.87741935,7241.032258,30.63548387,7240.032258,35.50645161,7219.032258,38.83548387,3387.322581,69.9483871,D,13,13,13.64516129,15,Non-metro,5,5,5.64516129,7,1,0
1027,22.44350215,Clay,Alabama,6.778773434,10.46445195,49.35525859,2.890089308,-11.19047619,3.274119313,22,21.10322581,2793.612903,2793.612903,24.33548387,2790.612903,26.41612903,1256.516129,45.11612903,91.87741935,3587.354839,27.10645161,3585.709677,31.23225806,3579.580645,33.88709677,1705.870968,61.2516129,C,9,9,9,10,Non-metro,5,5,5,6,2,0
1029,26.81306909,Cleburne,Alabama,6.778773434,10.46445195,49.35525859,26.9047619,-13.65384615,3.274119313,22,17.38064516,2591.258065,2591.258065,20.41290323,2586.709677,22.40645161,1338.290323,44.47741935,91.87741935,2790.83871,18.71290323,2790.83871,21.98387097,2781.225806,24.07741935,1375.612903,45.72258065,C,9,9,9,10,Non-metro,5,5,5,6,1,0
1031,75.42431794,Coffee,Alabama,3.580645161,21.93548387,49.35525859,2.890089308,-16.32258065,0.935483871,22,18.34516129,9605.064516,9605.064516,21.68387097,9566.806452,23.9516129,4947.032258,54.77419355,91.87741935,11880.70968,22.69032258,11878.70968,26.82580645,11810.09677,29.56129032,5698.709677,63.10322581,C,9,9,9,11,Non-metro,5,5,5,7,4,0
1033,91.7182878,Colbert,Alabama,2.516129032,9.677419355,-27.125,14.22580645,-16.96774194,1.741935484,22,26.29032258,14526.96774,14526.96774,30.51935484,14492.16129,33.19032258,6647.354839,60.07741935,91.87741935,17141.67742,31.02580645,17140.67742,36.01935484,17069.54839,39.07096774,7745.935484,70.00322581,B,5,5.612903226,5.935483871,7,Metro,1,1.612903226,1.935483871,3,2,0
1035,14.9054997,Conecuh,Alabama,6.778773434,10.46445195,49.35525859,26.09677419,-15.52380952,3.274119313,22,22.79032258,2749.967742,2749.967742,26.30322581,2745.193548,28.61612903,1399.064516,49.4,91.87741935,3623.483871,30.02903226,3623.483871,34.66451613,3616.741935,37.69032258,1793.451613,63.32903226,D,13,13,13,14.32258065,Non-metro,5,5,5,6.322580645,1,0
1037,16.47499101,Coosa,Alabama,6.778773434,10.46445195,49.35525859,2.890089308,-8.380952381,3.274119313,22,20.61935484,2199.064516,2199.064516,23.05483871,2198.612903,24.6516129,1153.806452,44.93548387,91.87741935,2352.354839,22.06774194,2352.354839,24.66129032,2347.935484,26.32580645,1216.451613,47.36774194,C,9,9,9,10,Non-metro,5,5,5,6,1,0
1039,36.71675452,Covington,Alabama,17.06451613,20.25806452,49.35525859,2.890089308,-8.774193548,2.428571429,22,17.24516129,6386.483871,6386.483871,20.16129032,6374.483871,22.07419355,3494.967742,44.11612903,91.87741935,7808.16129,21.07096774,7807.16129,24.63870968,7790.322581,26.96129032,4254.225806,53.70967742,D,13,13,13,14,Non-metro,5,5,5,6,4,0
1041,22.9337757,Crenshaw,Alabama,6.778773434,10.46445195,49.35525859,2.890089308,-19.65384615,3.274119313,22,18.38709677,2532.258065,2532.258065,21.57096774,2518.548387,23.68064516,1290.741935,48.32580645,91.87741935,3137.451613,22.77741935,3137.451613,26.70322581,3114.935484,29.29032258,1517.129032,56.81935484,C,9,9,9,10,Non-metro,5,5,5,6,1,0
1043,111.5955697,Cullman,Alabama,-0.3225806452,11.70967742,42.46153846,25.80645161,-17.90322581,2.193548387,22,18.93548387,15868.64516,15868.64516,22.2516129,15835.67742,24.37741935,7708.516129,48.99354839,91.87741935,17372.74194,20.7516129,17369.74194,24.34193548,17329.67742,26.68709677,8374.354839,53.21935484,C,9,9,9,10.19354839,Non-metro,5,5,5,6.193548387,8,0
1045,88.32754166,Dale,Alabama,0.5161290323,21.67741935,49.35525859,10.66666667,-11.93548387,1.483870968,22,26.93870968,13249.58065,13249.58065,31.89677419,13219.12903,34.80967742,4661.774194,54.83225806,91.87741935,15903.77419,32.34516129,15903.77419,38.28709677,15834.25806,41.69032258,5344.064516,62.85483871,D,13,13.87096774,14,15,Non-metro,5,5.870967742,6,7,3,0
