FIPS CODE,Population Density,County,State,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,MMWR_week,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Cases,Deaths
1001,93.10842547,Autauga,Alabama,0.5,8.6,-6,8.228331427,-13.86666667,3.8,26,21.77666667,12161.36667,12161.36667,25.57,11973.9,27.91,4425.1,49.58,91.70666667,14818.73333,26.51666667,14817.73333,31.15,14467.53333,33.71333333,5301.266667,59.4,B,5,5,5,6.466666667,Metro,1,1,1,2.466666667,4,0
1003,128.1362751,Baldwin,Alabama,27.73333333,44.2,67.96666667,30.13333333,-8.266666667,1.3,26,26.21,58515,58514,30.37333333,57889.5,32.95,27133.23333,57.93666667,91.70666667,69145.2,30.97666667,69140.2,35.89666667,68037.23333,38.73,31566.3,67.42,A,1,1.466666667,2,3,Metro,1,1.466666667,2,3,13,0
1005,29.93526777,Barbour,Alabama,17,1.5,62.82739561,8.228331427,-10.7,4.2,26,20.20666667,4986.366667,4986.366667,23.29,4963.4,25.31,2519.5,51.83333333,91.70666667,6091.966667,24.68333333,6091.966667,28.46,6051.1,30.87,2635.4,54.22333333,D,13,13,13,14.73333333,Non-metro,5,5,5,6.733333333,0,0
1007,36.2731335,Bibb,Alabama,9.90046665,18.66666667,62.82739561,8.228331427,-12.36666667,2.5,26,17.9,4009.766667,4009.766667,20.59,3980.133333,22.31666667,1764.533333,47.26,91.70666667,5380.733333,24.02666667,5377.733333,27.60333333,5314.466667,29.79333333,1986.233333,53.18666667,C,9,9,9,10,Metro,1,1,1,2,1,0
1009,89.44656749,Blount,Alabama,13.53333333,11,62.82739561,8.228331427,-22.96666667,4,26,15.90333333,9194.466667,9194.466667,18.67,9120.433333,20.46,4183.6,38.68666667,91.70666667,11099.8,19.19666667,11096.8,22.54,10969.43333,24.60333333,4767.8,44.08666667,B,5,5,5,6,Metro,1,1,1,2,3,0
1011,17.17391479,Bullock,Alabama,9.90046665,12.23960114,62.82739561,8.228331427,-14.40909091,3.066315201,26,27.55666667,2783.566667,2783.566667,32.07666667,2764.8,34.58,955.5,55.85,91.70666667,3163.166667,31.32,3161.166667,36.42666667,3122.666667,39.06333333,982.5666667,57.42666667,D,13,14,14,15,Non-metro,5,6,6,7,1,0
1013,25.94393361,Butler,Alabama,13.875,3.409090909,62.82739561,8.228331427,-8.133333333,3.066315201,26,22.15,4307.933333,4307.933333,25.84,4289,28.26666667,2009.533333,49.62333333,91.70666667,5428.5,27.90666667,5428.5,32.56,5385.833333,35.49666667,2428.166667,59.97,D,13,13,13,14.46666667,Non-metro,5,5,5,6.466666667,1,0
1015,190.8336469,Calhoun,Alabama,-0.7,-9.3,62.82739561,8.228331427,-15.8,3.333333333,26,23.72,26948.93333,26948.93333,27.57333333,26742.96667,30,11361.86667,55.29333333,91.70666667,28719.16667,25.27333333,28719.16667,29.36666667,28353.46667,31.80666667,11686.56667,56.88666667,D,13,13,13.46666667,15,Metro,1,1,1.466666667,3,5,0
1017,57.20239183,Chambers,Alabama,6.466666667,15.63333333,62.82739561,-6,-19.46666667,4.681818182,26,18.63333333,6196.333333,6196.333333,21.64333333,6141.833333,23.31666667,2801.3,41.71,91.70666667,7027.866667,21.13666667,7027.866667,24.54666667,6938.866667,26.33666667,3056.066667,45.52,C,9,9,9,10,Non-metro,5,5,5,6,2,0
1019,46.7021853,Cherokee,Alabama,18.5,14.81818182,62.82739561,8.228331427,-10.13333333,4.454545455,26,18.98,4972.233333,4972.233333,21.55666667,4947.966667,23.29,2591.933333,42.05666667,91.70666667,5605.2,21.39666667,5605.2,24.29333333,5577.466667,26.25,2893.7,46.94666667,B,5,5,5,6,Non-metro,5,5,5,6,0,0
1021,63.42317429,Chilton,Alabama,21.23333333,16.89285714,62.82739561,66.96666667,-13.2,2.9,26,18.57333333,8257.8,8257.8,22.04333333,8186.766667,24.19333333,3814.033333,50.19,91.70666667,10162.16667,22.88,10159.5,27.11666667,10023.36667,29.61666667,4472.766667,58.86,D,13,13,13,14.6,Metro,1,1,1,2.6,2,0
1023,14.41707718,Choctaw,Alabama,9.90046665,12.23960114,62.82739561,8.228331427,-8.818181818,3.066315201,26,35.05333333,4412.766667,4412.766667,40.01,4395.1,43.47666667,2089.5,70.37,91.70666667,5043.8,40.06333333,5042.8,45.71666667,5008.333333,49.54333333,2389.033333,80.46666667,D,14,14.5,15,15.66666667,Non-metro,6,6.5,7,7.666666667,0,0
1025,19.92385736,Clarke,Alabama,6.153846154,-4.5,62.82739561,8.228331427,-22.3,3.066315201,26,26.2,6190.8,6190.8,30.37,6162.7,33.15333333,2766,57.11,91.70666667,7709.366667,32.63666667,7708.366667,37.79,7659.133333,41.20333333,3462.6,71.49333333,D,13,13.6,14,15,Non-metro,5,5.6,6,7,0,0
1027,22.44350215,Clay,Alabama,9.90046665,12.23960114,62.82739561,8.228331427,-0.4090909091,3.066315201,26,23.60333333,3124.633333,3124.233333,27.21,3116.5,29.49666667,1333.233333,47.87666667,91.70666667,3872.833333,29.26666667,3870.833333,33.72,3854.133333,36.47333333,1752.2,62.93,C,9,9,9.4,10,Non-metro,5,5,5.4,6,1,0
1029,26.81306909,Cleburne,Alabama,9.90046665,12.23960114,62.82739561,33,-11.61538462,3.066315201,26,19.14,2854.033333,2854.033333,22.48666667,2845,24.63,1391.766667,46.26,91.70666667,2968.133333,19.91,2968.133333,23.38,2949.8,25.53666667,1413.466667,46.98333333,C,9,9,9,10,Non-metro,5,5,5,6,1,0
1031,75.42431794,Coffee,Alabama,4.266666667,20.03333333,62.82739561,8.228331427,-21.1,2.5,26,20.87333333,10929.5,10929.5,24.67,10842.56667,27.13666667,5185.833333,57.42666667,91.70666667,13208.8,25.23666667,13206.8,29.82333333,13036.13333,32.63,5861.866667,64.91,C,9,9,9,11,Non-metro,5,5,5,7,2,0
1033,91.7182878,Colbert,Alabama,0.7333333333,4.666666667,-30.2,13.36666667,-19.43333333,2.766666667,26,29.35,16211.43333,16211.43333,34.07,16091.43333,36.83333333,6988,63.14666667,91.70666667,18140.73333,32.85,18139.73333,38.12666667,17958.93333,41.11666667,7887.1,71.28,B,5.466666667,6,6,7,Metro,1.466666667,2,2,3,3,0
1035,14.9054997,Conecuh,Alabama,9.90046665,12.23960114,62.82739561,30.46666667,-18.22727273,3.066315201,26,24.53666667,2960.8,2960.8,28.33666667,2952.7,30.78333333,1443.333333,50.98,91.70666667,3812.933333,31.59333333,3812.933333,36.48333333,3793.833333,39.55333333,1826.366667,64.48666667,D,13,13,13.73333333,15,Non-metro,5,5,5.733333333,7,1,0
