FIPS CODE,Population Density,County ,State,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,MMWR_week,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,Cases,Deaths
1001,93.10842547,Autauga,Alabama,-3.193548387,11.38709677,67.50339527,10.12366463,-15.16129032,4.064516129,30,23.88387097,13340.03226,13340.03226,28.03548387,12982.12903,30.25806452,4575.096774,51.27419355,91.7,16593.6129,29.69677419,16592.6129,34.88064516,15940.87097,37.17096774,5498.387097,61.61290323,B,5,5,5.677419355,7,Metro,1,1,1.677419355,3,9,0
1003,128.1362751,Baldwin,Alabama,29.48387097,49.38709677,78.51612903,36.19354839,-9.612903226,1.967741935,30,29.01290323,64756,64754,33.62258065,63456,36.12580645,28431.74194,60.70967742,91.7,79548.51613,35.63225806,79543.51613,41.28387097,77347.19355,44.02258065,33470.77419,71.47741935,A,1,2,2,3,Metro,1,2,2,3,106,0
1005,29.93526777,Barbour,Alabama,18.13043478,4.2,67.50339527,10.12366463,-13.41935484,3.8,30,24.88387097,6141.387097,6141.387097,28.69032258,6080.193548,31.00645161,2731.064516,56.18064516,91.7,7107.354839,28.79677419,7107.225806,33.20322581,7017.677419,35.8,2846.935484,58.56129032,D,13,13,13.80645161,15,Non-metro,5,5,5.806451613,7,5,0
1007,36.2731335,Bibb,Alabama,10.40201285,21.55555556,67.50339527,10.12366463,-15.16129032,3.655665721,30,21.03548387,4709.870968,4709.870968,24.17741935,4640.483871,26.01290323,1840.83871,49.30645161,91.7,5949.064516,26.5516129,5946.064516,30.52580645,5833.806452,32.70967742,2039.354839,54.63225806,C,9,9,9,10,Metro,1,1,1,2,7,0
1009,89.44656749,Blount,Alabama,15.80645161,16.22222222,67.50339527,10.12366463,-24.80645161,4.419354839,30,17.26129032,9981.225806,9981.225806,20.28387097,9853.612903,22.09354839,4361,40.33225806,91.7,11969.19355,20.70322581,11966.19355,24.30322581,11734.03226,26.32258065,4894.290323,45.27096774,B,5,5,5,6,Metro,1,1,1,2,12,0
1011,17.17391479,Bullock,Alabama,10.40201285,14.16292936,67.50339527,10.12366463,-20.27272727,3.655665721,30,29.58709677,2988.548387,2988.548387,34.43870968,2942.258065,36.8,988.2580645,57.74516129,91.7,3479.83871,34.4516129,3477.83871,40.07096774,3364.645161,42.09354839,1011.516129,59.11935484,D,13.38709677,14,14,15,Non-metro,5.387096774,6,6,7,1,0
1013,25.94393361,Butler,Alabama,14.66666667,4.5,67.50339527,10.12366463,-9.258064516,3.655665721,30,23.8,4629.903226,4629.903226,27.76774194,4583.709677,30.20967742,2063.967742,50.97419355,91.7,5926.709677,30.47096774,5926.709677,35.5483871,5841.032258,38.49354839,2505.580645,61.88064516,D,13,13,13.67741935,15,Non-metro,5,5,5.677419355,7,5,0
1015,190.8336469,Calhoun,Alabama,-2.193548387,-9.225806452,67.50339527,10.12366463,-19,3.709677419,30,25.71935484,29222.16129,29222.16129,29.89032258,28792.77419,32.29677419,11770.96774,57.28709677,91.7,31912.03226,28.08709677,31912.03226,32.64193548,31129.48387,34.91612903,12234.35484,59.53870968,D,13,13.4516129,14,15,Metro,1,1.451612903,2,3,20,0
1017,57.20239183,Chambers,Alabama,5.483870968,18.53333333,67.50339527,-19.5,-22.74193548,6.5,30,19.73225806,6559.064516,6559.064516,22.90967742,6468.387097,24.55806452,2864.677419,42.66774194,91.7,7593.548387,22.83225806,7593.548387,26.52258065,7431.580645,28.22258065,3126.354839,46.55483871,C,9,9,9,10,Non-metro,5,5,5,6,7,0
1019,46.7021853,Cherokee,Alabama,18.75,15.71428571,67.50339527,10.12366463,-11.41935484,5.181818182,30,20.00322581,5238.290323,5238.290323,22.70322581,5188.096774,24.41612903,2659.032258,43.14193548,91.7,5868.677419,22.40967742,5868.677419,25.42903226,5822.064516,27.40645161,2943.483871,47.75806452,B,5,5,5,6,Non-metro,5,5,5,6,4,0
