FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI,Metro_status,Series_Complete_Pop_Pct_UR_Equity,Series_Complete_12PlusPop_Pct_UR_Equity,Series_Complete_18PlusPop_Pct_UR_Equity,Series_Complete_65PlusPop_Pct_UR_Equity,month,year
1001,13,Autauga County,AL,6.190322581,3455.354839,3455.354839,7.261290323,3454.387097,8.05483871,1885.322581,21.12580645,93.8,6590.129032,11.80645161,6590.064516,13.8483871,6584.16129,15.3483871,3367.870968,37.73548387,B,5,5,5,5,Metro,1,1,1,1,3,2021
1003,13,Baldwin County,AL,10.36451613,23131.54839,23130.54839,12.00967742,23123.03226,13.16129032,14803.6129,31.62580645,93.8,36226.41935,16.23225806,36222.25806,18.79032258,36198.12903,20.60645161,22676.83871,48.43548387,A,1,1,1,1.64516129,Metro,1,1,1,1.64516129,3,2021
1005,13,Barbour County,AL,6.748387097,1664.516129,1664.516129,7.777419355,1664.516129,8.493548387,1150.677419,23.67096774,93.8,2810.83871,11.38387097,2810.83871,13.12903226,2810.645161,14.33225806,1857.548387,38.21612903,D,13,13,13,13.19354839,Non-metro,5,5,5,5.193548387,3,2021
1007,13,Bibb County,AL,7.841935484,1755.677419,1755.677419,9.003225806,1753.83871,9.832258065,1127.290323,30.19032258,93.8,2496.290323,11.1516129,2493.354839,12.79354839,2490.806452,13.96774194,1473.322581,39.46774194,C,9,9,9,9.612903226,Metro,1,1,1,1.612903226,3,2021
1009,13,Blount County,AL,5.903225806,3411.645161,3411.645161,6.929032258,3410.967742,7.648387097,2175.612903,20.11935484,93.8,5294.677419,9.158064516,5292.064516,10.74193548,5289.83871,11.86451613,3190.483871,29.50322581,B,5,5,5,5,Metro,1,1,1,1,3,2021
1011,13,Bullock County,AL,7.487096774,755.3225806,755.3225806,8.703225806,755.3225806,9.435483871,440.2258065,25.72258065,93.8,1177.83871,11.65806452,1176.645161,13.55483871,1176.645161,14.70645161,633.2258065,37.00645161,D,13,13,13,13.29032258,Non-metro,5,5,5,5.290322581,3,2021
1013,13,Butler County,AL,7.029032258,1366.419355,1366.419355,8.196774194,1366.419355,9.012903226,953.9032258,23.55483871,93.8,2518.290323,12.9516129,2518.290323,15.1,2517.290323,16.59677419,1577.258065,38.95806452,D,13,13,13,13.03225806,Non-metro,5,5,5,5.032258065,3,2021
1015,13,Calhoun County,AL,8.522580645,9681.870968,9681.870968,9.903225806,9679.967742,10.85806452,5407.483871,26.31935484,93.8,13358.6129,11.76451613,13358.6129,13.67096774,13351.16129,14.98064516,7526.129032,36.63548387,D,13,13,13,13.38709677,Metro,1,1,1,1.387096774,3,2021
1017,13,Chambers County,AL,7.025806452,2339.064516,2339.064516,8.170967742,2338.322581,8.874193548,1458.806452,21.72903226,93.8,3903.709677,11.74193548,3903.709677,13.63548387,3902.064516,14.80967742,2279.516129,33.95806452,C,9,9,9,9,Non-metro,5,5,5,5,3,2021
1019,13,Cherokee County,AL,8.55483871,2239.806452,2239.806452,9.712903226,2239.806452,10.5516129,1432,23.22903226,93.8,3226.806452,12.31935484,3226.806452,13.99032258,3226.741935,15.19032258,2141.129032,34.74193548,B,5,5,5,5.161290323,Non-metro,5,5,5,5.161290323,3,2021
